year,month,day,MJO_120W
2018,4,18,-0.48
2018,4,23,-0.88
2018,4,28,-0.65
2018,5,3,-0.17
2018,5,8,1.29
2018,5,13,1.59
2018,5,18,1.27
2018,5,23,0.97
2018,5,28,0.06
2018,6,2,-0.93
2018,6,7,-0.57
2018,6,12,-0.59
2018,6,17,0.44
2018,6,22,0.69
2018,6,27,1.04
2018,7,2,0.1
2018,7,7,-0.55
2018,7,12,-1.75
2018,7,17,-1.9
2018,7,22,-1.03
2018,7,27,-0.1
2018,8,1,-0.44
2018,8,6,-0.4
2018,8,11,-0.59
2018,8,16,0.01
2018,8,21,-0.63
2018,8,26,-0.84
2018,8,31,-1.28
2018,9,5,-0.19
2018,9,10,0.64
2018,9,15,0.56
2018,9,20,-0.23
2018,9,25,0.36
2018,9,30,1.47
2018,10,5,1.6
2018,10,10,1.97
2018,10,15,0.35
2018,10,20,0.02
2018,10,25,0.07
2018,10,30,1.02
2018,11,4,1.7
2018,11,9,-0.71
2018,11,14,-0.64
